map,heuristic,method,trial,backtracks,elapsed_ns,success
USA,without,1,1,136,1744500,True
USA,without,1,2,56456,499853500,False
USA,without,1,3,44987,499643900,False
USA,without,1,4,5,594200,True
USA,without,1,5,3168,47983800,True
USA,without,2,1,1732,499854800,False
USA,without,2,2,690,115454900,True
USA,without,2,3,0,8707100,True
USA,without,2,4,2660,369397800,True
USA,without,2,5,47,13387500,True
USA,without,3,1,1,24842800,True
USA,without,3,2,0,19542100,True
USA,without,3,3,1569,499933800,False
USA,without,3,4,0,20580800,True
USA,without,3,5,1,20762300,True
USA,with,1,1,0,1110200,True
USA,with,1,2,0,1171900,True
USA,with,1,3,0,1048700,True
USA,with,1,4,0,1984200,True
USA,with,1,5,0,1679000,True
USA,with,2,1,0,8573400,True
USA,with,2,2,0,9415500,True
USA,with,2,3,0,10941700,True
USA,with,2,4,0,8421600,True
USA,with,2,5,0,10065900,True
USA,with,3,1,0,21410200,True
USA,with,3,2,0,19710700,True
USA,with,3,3,0,57116000,True
USA,with,3,4,0,18292100,True
USA,with,3,5,0,18689200,True
Australia,without,1,1,0,45900,True
Australia,without,1,2,0,44500,True
Australia,without,1,3,0,30700,True
Australia,without,1,4,2,54100,True
Australia,without,1,5,0,32900,True
Australia,without,2,1,16,561500,True
Australia,without,2,2,0,181900,True
Australia,without,2,3,0,226900,True
Australia,without,2,4,27,973800,True
Australia,without,2,5,0,147400,True
Australia,without,3,1,0,319000,True
Australia,without,3,2,0,313700,True
Australia,without,3,3,0,304300,True
Australia,without,3,4,3,414800,True
Australia,without,3,5,0,306700,True
Australia,with,1,1,0,78900,True
Australia,with,1,2,0,62300,True
Australia,with,1,3,0,62300,True
Australia,with,1,4,0,61700,True
Australia,with,1,5,0,112800,True
Australia,with,2,1,0,301400,True
Australia,with,2,2,0,541000,True
Australia,with,2,3,0,293300,True
Australia,with,2,4,0,207600,True
Australia,with,2,5,0,180400,True
Australia,with,3,1,0,353400,True
Australia,with,3,2,0,364800,True
Australia,with,3,3,0,436500,True
Australia,with,3,4,0,363100,True
Australia,with,3,5,0,406200,True
